"Region,Subregion,Country,Month,By_Air,By_Sea,Total_Arrivals,Previous_Year_Arrivals,Growth_Percent"
"EUROPE,Southern/Mediterranean Europe,Italy,March,3518,6,3524,2502,40.8"
"EUROPE,Southern/Mediterranean Europe,Portugal,March,872,4,876,670,30.7"
"EUROPE,Southern/Mediterranean Europe,Spain,March,2541,7,2548,2706,-5.8"
"EUROPE,Southern/Mediterranean Europe,Turkey,March,988,4,992,473,109.7"
"EUROPE,Southern/Mediterranean Europe,Israel,March,2068,1,2069,2212,-6.5"
"EUROPE,Southern/Mediterranean Europe,Others,March,999,1,1000,901,11.0"
"MIDDLE EAST,,Bahrain,March,159,0,159,122,30.3"
"MIDDLE EAST,,Egypt,March,357,0,357,396,-9.8"
"MIDDLE EAST,,Iraq,March,131,0,131,54,142.6"
"MIDDLE EAST,,Jordan,March,178,0,178,180,-1.1"
"MIDDLE EAST,,Kuwait,March,172,2,174,231,-24.7"
"MIDDLE EAST,,Lebanon,March,145,0,145,155,-6.5"
"MIDDLE EAST,,Oman,March,156,0,156,236,-33.9"
"MIDDLE EAST,,Qatar,March,33,0,33,41,-19.5"
"MIDDLE EAST,,Saudi Arabia,March,487,0,487,511,-4.7"
"MIDDLE EAST,,United Arab Emirates,March,191,0,191,219,-12.8"
"MIDDLE EAST,,Others,March,78,0,78,58,34.5"
"AMERICAS,North America,Canada,April,3181,57,3238,3594,-9.9"
"AMERICAS,North America,Mexico,April,107,0,107,155,-31.0"
"AMERICAS,North America,United States,April,3863,339,4202,5574,-24.6"
"AMERICAS,Caribbean & Central America,Costa Rica,April,0,0,0,11,-100.0"
"AMERICAS,Caribbean & Central America,Jamaica,April,0,0,0,1,0.0"
"AMERICAS,Caribbean & Central America,Others,April,52,1,53,66,-19.7"
"AMERICAS,South America,Argentina,April,62,0,62,102,-39.2"
"AMERICAS,South America,Brazil,April,178,0,178,239,-25.5"
"AMERICAS,South America,Chile,April,60,1,61,53,15.1"
"AMERICAS,South America,Colombia,April,62,0,62,88,-29.5"
"AMERICAS,South America,Others,April,102,3,105,95,10.5"
"AFRICA,North Africa,Morocco,April,95,0,95,131,-27.5"
"AFRICA,North Africa,Sudan,April,102,0,102,68,50.0"
"AFRICA,North Africa,Others,April,80,0,80,190,-57.9"
"AFRICA,Sub-Saharan Africa,Kenya,April,79,0,79,45,75.6"
"AFRICA,Sub-Saharan Africa,Mauritius,April,82,0,82,59,39.0"
"AFRICA,Sub-Saharan Africa,Nigeria,April,0,0,0,9,-100.0"
"AFRICA,Sub-Saharan Africa,South Africa,April,368,2,370,474,-21.9"
"AFRICA,Sub-Saharan Africa,Others,April,490,0,490,420,16.7"
"ASIA & PACIFIC,North East Asia,China,April,8666,1,8667,8969,-3.4"
"ASIA & PACIFIC,North East Asia,Japan,April,2368,6,2374,1949,21.8"
"ASIA & PACIFIC,North East Asia,South Korea,April,580,4,584,637,-8.3"
"ASIA & PACIFIC,North East Asia,Others,April,16,0,16,4,300.0"
"ASIA & PACIFIC,South East Asia,Cambodia,April,551,0,551,162,240.1"
"ASIA & PACIFIC,South East Asia,Indonesia,April,446,0,446,248,79.8"
"ASIA & PACIFIC,South East Asia,Malaysia,April,1479,7,1486,1277,16.4"
"ASIA & PACIFIC,South East Asia,Myanmar,April,166,0,166,125,32.8"
"ASIA & PACIFIC,South East Asia,Philippines,April,565,0,565,578,-2.2"
"ASIA & PACIFIC,South East Asia,Singapore,April,1058,2,1060,858,23.5"
"ASIA & PACIFIC,South East Asia,Thailand,April,1220,0,1220,834,46.3"
"ASIA & PACIFIC,South East Asia,Vietnam,April,778,0,778,235,231.1"
"ASIA & PACIFIC,South East Asia,Others,April,20,0,20,22,-9.1"
"ASIA & PACIFIC,Oceania,Australia,April,10656,88,10744,7202,49.2"
"ASIA & PACIFIC,Oceania,New Zealand,April,1417,17,1434,1116,28.5"
"ASIA & PACIFIC,Oceania,Others,April,71,0,71,35,102.9"
"ASIA & PACIFIC,South Asia,Afghanistan,April,21,0,21,0,-"
"ASIA & PACIFIC,South Asia,Bangladesh,April,5428,0,5428,2354,130.6"
"ASIA & PACIFIC,South Asia,Bhutan,April,72,0,72,24,200.0"
"ASIA & PACIFIC,South Asia,India,April,38204,540,38744,27304,41.9"
"ASIA & PACIFIC,South Asia,Iran,April,232,0,232,426,-45.5"
"ASIA & PACIFIC,South Asia,Maldives,April,2516,0,2516,2938,-14.4"
"ASIA & PACIFIC,South Asia,Nepal,April,527,0,527,284,85.6"
"ASIA & PACIFIC,South Asia,Pakistan,April,1156,0,1156,797,45.0"
"EUROPE,Northern Europe,Denmark,April,1315,1,1316,822,60.1"
"EUROPE,Northern Europe,Finland,April,236,0,236,238,-0.8"
"EUROPE,Northern Europe,Norway,April,878,0,878,548,60.2"
"EUROPE,Northern Europe,Sweden,April,696,0,696,537,29.6"
"EUROPE,Northern Europe,United Kingdom,April,17293,55,17348,13173,31.7"
"EUROPE,Northern Europe,Others,April,980,1,981,862,13.8"
"EUROPE,Western Europe,Austria,April,1083,4,1087,1092,-0.5"
"EUROPE,Western Europe,Belgium,April,1620,3,1623,914,77.6"
"EUROPE,Western Europe,France,April,8255,21,8276,8792,-5.9"
"EUROPE,Western Europe,Germany,April,11632,22,11654,9843,18.4"
"EUROPE,Western Europe,Netherlands,April,4452,24,4476,3437,30.2"
"EUROPE,Western Europe,Switzerland,April,3237,4,3241,2557,26.8"
"EUROPE,Western Europe,Others,April,137,2,139,94,47.9"
"EUROPE,Central/Eastern Europe,Belarus,April,436,0,436,752,-42.0"
"EUROPE,Central/Eastern Europe,Czech Republic,April,1227,0,1227,1279,-4.1"
"EUROPE,Central/Eastern Europe,Estonia,April,108,0,108,236,-54.2"
"EUROPE,Central/Eastern Europe,Hungary,April,419,2,421,237,77.6"
"EUROPE,Central/Eastern Europe,Kazakhstan,April,121,0,121,152,-20.4"
"EUROPE,Central/Eastern Europe,Lithuania,April,178,0,178,401,-55.6"
"EUROPE,Central/Eastern Europe,Poland,April,2096,2,2098,2349,-10.7"
"EUROPE,Central/Eastern Europe,Romania,April,455,1,456,655,-30.4"
"EUROPE,Central/Eastern Europe,Russia,April,13525,0,13525,15103,-10.4"
"EUROPE,Central/Eastern Europe,Slovakia,April,627,0,627,535,17.2"
"EUROPE,Central/Eastern Europe,Ukraine,April,411,0,411,437,-5.9"
"EUROPE,Central/Eastern Europe,Others,April,750,0,750,1026,-26.9"
"EUROPE,Southern/Mediterranean Europe,Greece,April,423,0,423,306,38.2"
"EUROPE,Southern/Mediterranean Europe,Italy,April,3629,4,3633,2245,61.8"
"EUROPE,Southern/Mediterranean Europe,Portugal,April,762,1,763,530,44.0"
"EUROPE,Southern/Mediterranean Europe,Spain,April,3138,6,3144,2166,45.2"
"EUROPE,Southern/Mediterranean Europe,Turkey,April,533,0,533,910,-41.4"
"EUROPE,Southern/Mediterranean Europe,Israel,April,1821,0,1821,3169,-42.5"
"EUROPE,Southern/Mediterranean Europe,Others,April,1103,1,1104,853,29.4"
"MIDDLE EAST,,Bahrain,April,77,0,77,85,-9.4"
"MIDDLE EAST,,Egypt,April,298,0,298,223,33.6"
"MIDDLE EAST,,Iraq,April,114,0,114,119,-4.2"
"MIDDLE EAST,,Jordan,April,262,0,262,275,-4.7"
"MIDDLE EAST,,Kuwait,April,219,0,219,198,10.6"
"MIDDLE EAST,,Lebanon,April,248,0,248,283,-12.4"
"MIDDLE EAST,,Oman,April,518,0,518,685,-24.4"
"MIDDLE EAST,,Qatar,April,159,0,159,156,1.9"
"MIDDLE EAST,,Saudi Arabia,April,1068,0,1068,1276,-16.3"
"MIDDLE EAST,,United Arab Emirates,April,862,0,862,836,3.1"
"MIDDLE EAST,,Others,April,78,0,78,58,34.5"
"AMERICAS,North America,Canada,May,3344,68,3412,3294,3.6"
"AMERICAS,North America,Mexico,May,75,13,88,57,54.4"
"AMERICAS,North America,United States,May,3234,373,3607,4082,-11.6"
"AMERICAS,Caribbean & Central America,Costa Rica,May,10,2,12,7,71.4"
"AMERICAS,Caribbean & Central America,Jamaica,May,0,0,0,7,-57.1"
"AMERICAS,Caribbean & Central America,Others,May,65,0,65,49,32.7"
"AMERICAS,South America,Argentina,May,60,0,60,44,36.4"
"AMERICAS,South America,Brazil,May,131,1,132,106,24.5"
"AMERICAS,South America,Chile,May,41,0,41,42,-2.4"
"AMERICAS,South America,Colombia,May,56,0,56,40,40.0"
"AMERICAS,South America,Others,May,67,1,68,57,19.3"
"AFRICA,North Africa,Morocco,May,108,0,108,59,83.1"
"AFRICA,North Africa,Sudan,May,66,0,66,69,-4.3"
"AFRICA,North Africa,Others,May,92,0,92,85,8.2"
"AFRICA,Sub-Saharan Africa,Kenya,May,71,0,71,45,57.8"
"AFRICA,Sub-Saharan Africa,Mauritius,May,56,0,56,25,124.0"
"AFRICA,Sub-Saharan Africa,Nigeria,May,14,0,14,0,75.0"
